lat,lon,elevation,ai_risk_score
13.0681894,80.2703532,11.0,0.98955697
13.0682704,80.269388,6.0,0.9996854
13.0689777,80.2673925,10.0,0.9753955
13.0700231,80.266262,9.0,0.9849294
13.0720615,80.2640748,7.0,0.99437934
13.0727188,80.2625902,14.0,0.9897462
13.0803737,80.2651477,11.0,0.99989104
13.0747069,80.2575121,7.0,0.99660254
13.0710827,80.2540178,11.0,0.6320259
13.0707355,80.2543695,11.0,0.69008195
13.0716875,80.2532246,13.0,0.34956133
13.070992,80.2472598,13.0,0.377456
13.0713354,80.2481355,12.0,0.19491425
13.0747212,80.2522342,8.0,0.97323114
13.0749637,80.2522302,9.0,0.99441683
13.0749196,80.2561144,9.0,0.95875186
13.0746723,80.2536527,11.0,0.8276039
13.0742469,80.2531079,10.0,0.8697385
13.0739651,80.252516,10.0,0.96423167
13.0737627,80.247713,11.0,0.27142102
13.0730886,80.2478224,13.0,0.20033184
13.0746219,80.2627698,6.0,0.9935742
13.0777391,80.2623028,8.0,0.997361
13.0695043,80.2724275,10.0,0.9002086
13.0698885,80.2713796,11.0,0.85935986
13.0699872,80.2710687,11.0,0.8896655
13.0700594,80.2707518,11.0,0.93875694
13.0701446,80.2703748,8.0,0.9929213
13.0704524,80.2693581,6.0,0.9998739
13.0698752,80.2714408,11.0,0.7964759
13.0704281,80.2716157,11.0,0.88481575
13.0711212,80.2718338,10.0,0.9310507
13.0710694,80.2704816,8.0,0.99536765
13.0715542,80.2704933,7.0,0.99699295
13.0719582,80.2704944,8.0,0.99414355
13.0728929,80.2706803,8.0,0.9959273
13.0750155,80.2712845,7.0,0.99977285
13.0730994,80.2696027,9.0,0.99511176
13.0776486,80.2709239,9.0,0.9998838
13.0729626,80.2702102,8.0,0.99653673
13.0732437,80.2691181,9.0,0.99348336
13.0733699,80.2685818,12.0,0.98391867
13.0736165,80.2675351,7.0,0.9913084
13.0736539,80.2669532,5.0,0.9998436
13.0712262,80.2690665,5.0,0.9994916
13.0726495,80.2677679,6.0,0.9989687
13.0728917,80.2675478,7.0,0.9989542
13.0750104,80.2662967,7.0,0.9997377
13.0755166,80.2662674,6.0,0.99947494
